Title,Salary,Location
"

CPRD Data Scientist
new","
£39,853 a year",London
"

Lead Data Scientist
","
£60,000 a year",London
"

Junior Data Scientist
new","
£25,000 - £35,000 a year",London
"

Data Scientist
new","
£40,000 - £69,000 a year",London
"

Junior Data Scientist
new","
£39,365 - £45,769 a year",London SE1
"

Data Scientist - Python
new","
£39,365 - £45,769 a year",London
"

Data Scientist
","
£450 - £550 a day",London
"

Data Scientist
new","
£35,000 - £40,000 a year",London SE1
"

Data Scientist
","
£50,000 - £70,000 a year",London
"

919-SA-33705099-EXT Data Scientist
",,London
"

Data Scientist
new",,
"

Technical Analyst / Data Scientist
new",,
"

Data Scientist
",,
"

Data Scientist
",,
"

Senior Data Science Consultant
",,
"

Machine Learning Specialist Job, London, Up To £130,000 + St...
",,
"

Apple Media Products (AMP)- Big Data Analyst, Analytics Engi...
",,
